"Segments"
"Segment.id","StartNode.id","EndNode.id","StartNode.pos.x","StartNode.pos.y","StartNode.pos.z","EndNode.pos.x","EndNode.pos.y","EndNode.pos.z","Segment.pr_edge_checked","Segment.dijkstra.indicator","Segment.dijkstra.flipped","Segment.dijkstra.visited","Segment.component","StartNode.label","EndNode.label","StartNode.pr_vertex_checked","EndNode.pr_vertex_checked","StartNode.pr_adjacency_checked","EndNode.pr_adjacency_checked","StartNode.dijkstra.vertex_distance","EndNode.dijkstra.vertex_distance","StartNode.dijkstra.weight_distance","EndNode.dijkstra.weight_distance","StartNode.dijkstra.root","EndNode.dijkstra.root","StartNode.dijkstra.generation","EndNode.dijkstra.generation","StartNode.dijkstra.accepted","EndNode.dijkstra.accepted","StartNode.degree.in","EndNode.degree.in","StartNode.degree.out","EndNode.degree.out","StartNode.degree.total","EndNode.degree.total","StartNode.component","EndNode.component"
0,2,0,6.5365515,-20.355186,-1109.8636,9.0118904,-20.496283,-1116.7931,0,1,0,0,1,3,1,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,2,0,3,1,1,1
1,2,1,6.5365515,-20.355186,-1109.8636,7.0178504,-23.327831,-1116.3534,0,1,0,0,1,3,2,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,2,0,3,1,1,1
2,4,2,-0.53266281,-13.561488,-1098.7223,6.5365515,-20.355186,-1109.8636,0,1,0,0,1,5,3,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,2,2,3,3,1,1
3,4,106,-0.53266281,-13.561488,-1098.7223,1.8261613,-27.511429,-1105.8892,0,1,0,0,1,5,107,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,2,1,3,2,1,1
4,5,3,13.689409,-5.5146222,-1098.5236,25.405291,-14.042138,-1104.1372,0,1,0,0,1,6,4,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,1,0,2,1,1,1
5,16,4,3.3342786,-6.1336451,-1084.929,-0.53266281,-13.561488,-1098.7223,0,1,0,0,1,17,5,0,0,0,0,4,5,4,5,51,51,5,6,1,1,1,1,4,2,5,3,1,1
6,16,5,3.3342786,-6.1336451,-1084.929,13.689409,-5.5146222,-1098.5236,0,1,0,0,1,17,6,0,0,0,0,4,5,4,5,51,51,5,6,1,1,1,1,4,1,5,2,1,1
7,104,15,6.1390471,-30.867245,-1092.8304,6.0292015,-40.974869,-1088.8727,0,1,0,0,1,105,16,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,3,0,4,1,1,1
8,21,104,-1.2476019,-23.26852,-1083.8628,6.1390471,-30.867245,-1092.8304,0,1,0,0,1,22,105,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,1,3,2,4,1,1
9,6,8,24.968063,-22.326357,-1095.4524,31.540543,-27.181753,-1096.7645,0,1,0,0,1,7,9,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,1,0,2,1,1,1
10,17,6,13.246467,-17.672232,-1084.7509,24.968063,-22.326357,-1095.4524,0,1,0,0,1,18,7,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,2,1,3,2,1,1
11,9,14,33.057941,10.933925,-1092.3441,44.098152,7.5167012,-1088.9198,0,1,0,0,1,10,15,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,1,1,2,2,1,1
12,18,9,16.42182,11.994422,-1084.3734,33.057941,10.933925,-1092.3441,0,1,0,0,1,19,10,0,0,0,0,5,6,5,6,51,51,6,7,1,1,1,1,3,1,4,2,1,1
13,11,10,29.450243,-13.560006,-1089.5189,39.394043,-11.984963,-1094.4916,0,1,0,0,1,12,11,0,0,0,0,6,7,6,7,51,51,7,8,1,1,1,1,2,0,3,1,1,1
