"corallites.Label-Analysis"
"Thickness3d","Breadth3d","Width3d","Length3d","Area3d","BorderVoxelCount","Volume3d","VoxelFaceArea","Anisotropy","Elongation","Flatness","index","Materials"
4.50084,5.06715,4.34964,6.71379,76.5095,0,42.6522,112.768,0.501314,0.628655,0.793257,1,""
5.25033,6.51967,4.7832,6.83532,87.0446,0,49.0833,130.404,0.389757,0.671904,0.908229,2,""
7.41714,9.06192,8.50471,17.9252,346.555,0,346.392,526.886,0.780506,0.232362,0.944624,3,""
7.95925,9.74964,8.14707,18.292,407.183,0,485.104,632.843,0.840816,0.190214,0.836866,4,""
10.621,12.6804,10.7757,24.9097,628.985,0,831.866,961.638,0.871925,0.134064,0.955332,5,""
8.61679,12.1027,8.58802,22.0202,488.598,0,617.94,729.736,0.903825,0.14182,0.678149,6,""
8.31896,9.63282,8.10314,18.0638,360.828,0,394.145,553.078,0.858285,0.185366,0.764514,7,""
4.69456,6.69152,5.04628,8.3084,114.542,0,81.6823,177.077,0.677997,0.371309,0.867208,8,""
5.16209,5.42991,4.96389,6.68681,82.4793,0,52.0032,124.149,0.32483,0.785629,0.859401,9,""
8.6176,11.1359,9.47992,24.8684,492.55,0,561.945,727.135,0.925672,0.0861703,0.862572,10,""
4.31542,4.7126,4.61311,7.06228,82.8611,0,45.0916,126.983,0.646448,0.429657,0.822871,11,""
7.08489,9.52557,7.47449,21.7426,397.757,0,468.768,590.653,0.922249,0.124828,0.622865,12,""
4.1158,4.52274,3.7577,5.23681,47.0184,0,22.1392,73.9606,0.262817,0.83332,0.884635,13,""
5.70565,6.31225,5.28477,7.77321,117.077,0,88.446,174.316,0.567279,0.587843,0.736117,14,""
6.93977,7.14756,6.82427,12.9412,218.821,0,203.134,324.531,0.809932,0.203254,0.935122,15,""
6.84199,7.781,6.91534,16.0804,282.484,0,281.268,413.633,0.844835,0.163861,0.946929,16,""
10.1986,10.8522,10.9906,24.8954,686.8,0,985.325,1062.88,0.85694,0.161342,0.886691,17,""
