"corals.Label-Analysis(2)"
"Thickness3d","Breadth3d","Width3d","Length3d","Area3d","BorderVoxelCount","Volume3d","VoxelFaceArea","Anisotropy","Elongation","Flatness","index","Materials"
3.13932,3.25378,3.02368,4.62973,33.5739,0,15.5603,49.6047,0.620146,0.422096,0.899923,1,""
3.46468,3.9563,3.077,5.00617,37.3314,0,16.8169,55.649,0.649305,0.396642,0.884161,2,""
5.68441,7.16617,6.05095,14.265,195.588,0,162.478,295.013,0.85926,0.203718,0.690859,3,""
5.96125,7.84455,6.05763,16.7959,253.891,0,247.708,398.441,0.89768,0.149032,0.68656,4,""
8.63195,9.6566,8.7485,21.3797,385.425,0,413.401,594.878,0.902873,0.110022,0.882788,5,""
6.84577,10.2113,6.54632,20.3656,300.451,0,287.699,446.207,0.939992,0.108881,0.551133,6,""
5.98352,7.38086,6.09131,16.3704,221.136,0,199.66,338.714,0.906345,0.14829,0.631566,7,""
3.95253,3.99753,3.94021,7.06809,63.9783,0,36.7016,99.8855,0.820114,0.200547,0.896978,8,""
3.12179,4.43982,3.3241,5.47995,42.711,0,19.9586,63.894,0.6949,0.668719,0.456245,9,""
6.14894,8.73692,6.75868,22.3016,283.016,0,251.811,418.949,0.951463,0.0665024,0.729848,10,""
2.93592,3.082,2.97787,5.41702,37.3166,0,17.5562,56.7104,0.773932,0.253288,0.892532,11,""
6.24697,7.96794,6.01231,20.4566,275.277,0,257.872,409.541,0.940062,0.102884,0.582576,12,""
2.04704,2.53166,2.27978,3.47459,16.5121,0,5.50709,25.4005,0.676449,0.563896,0.573777,13,""
4.27118,4.96493,4.37499,6.55857,68.2453,0,42.6153,104.218,0.669121,0.408891,0.809211,14,""
4.53655,4.70744,4.68471,12.0412,123.511,0,85.0827,180.916,0.91392,0.105846,0.813258,15,""
4.85132,6.01182,5.15751,14.7674,168.865,0,134.388,247.383,0.909431,0.107995,0.838642,16,""
7.68172,9.05167,8.79017,22.0507,422.333,0,430.551,660.189,0.898105,0.116298,0.876151,17,""
6.88999,7.78471,6.64281,24.7202,335.282,0,330.832,518.327,0.953385,0.057745,0.807249,18,""
6.73721,8.11301,6.95895,19.5704,277.204,0,240.242,413.638,0.928685,0.0884449,0.806316,19,""
6.60223,7.12646,6.81027,23.5961,318.278,0,301.707,490.53,0.938552,0.0802505,0.765706,20,""
7.98577,10.3236,7.678,23.8576,408.418,0,431.475,587.953,0.934147,0.0995397,0.661579,21,""
6.58676,8.62478,6.76362,21.7967,351.064,0,367.312,512.003,0.927949,0.106718,0.675151,22,""
5.60702,7.17048,6.15088,20.0728,258.995,0,231.15,377.435,0.939255,0.0732684,0.829079,23,""
5.25139,5.67049,5.10051,12.4593,139.525,0,101.382,213.384,0.873178,0.141417,0.896791,24,""
4.72283,5.52759,4.72281,17.6686,194.377,0,154.309,295.051,0.950294,0.0654391,0.759578,25,""
3.93055,4.51495,4.19691,10.0401,92.7885,0,55.921,136.679,0.913829,0.12362,0.697061,26,""
