"Nodes"
"Node.id","Node.pos.x","Node.pos.y","Node.pos.z","Node.label","Node.pr_vertex_checked","Node.pr_adjacency_checked","Node.dijkstra.vertex_distance","Node.dijkstra.weight_distance","Node.dijkstra.root","Node.dijkstra.generation","Node.dijkstra.accepted","Node.degree.in","Node.degree.out","Node.degree.total","Node.component"
0,9.0118904,-20.496283,-1116.7931,1,0,0,7,7,51,8,1,1,0,1,1
1,7.0178504,-23.327831,-1116.3534,2,0,0,7,7,51,8,1,1,0,1,1
2,6.5365515,-20.355186,-1109.8636,3,0,0,6,6,51,7,1,1,2,3,1
3,25.405291,-14.042138,-1104.1372,4,0,0,6,6,51,7,1,1,0,1,1
4,-0.53266281,-13.561488,-1098.7223,5,0,0,5,5,51,6,1,1,2,3,1
5,13.689409,-5.5146222,-1098.5236,6,0,0,5,5,51,6,1,1,1,2,1
6,24.968063,-22.326357,-1095.4524,7,0,0,6,6,51,7,1,1,1,2,1
7,13.775229,-37.616402,-1097.1073,8,0,0,7,7,51,8,1,1,0,1,1
8,31.540543,-27.181753,-1096.7645,9,0,0,7,7,51,8,1,1,0,1,1
9,33.057941,10.933925,-1092.3441,10,0,0,6,6,51,7,1,1,1,2,1
10,39.394043,-11.984963,-1094.4916,11,0,0,7,7,51,8,1,1,0,1,1
11,29.450243,-13.560006,-1089.5189,12,0,0,6,6,51,7,1,1,2,3,1
12,48.495708,4.2673583,-1091.9054,13,0,0,8,8,51,9,1,1,0,1,1
13,39.362972,-16.874651,-1090.4459,14,0,0,7,7,51,8,1,1,0,1,1
14,44.098152,7.5167012,-1088.9198,15,0,0,7,7,51,8,1,1,1,2,1
15,6.0292015,-40.974869,-1088.8727,16,0,0,7,7,51,8,1,1,0,1,1
16,3.3342786,-6.1336451,-1084.929,17,0,0,4,4,51,5,1,1,4,5,1
17,13.246467,-17.672232,-1084.7509,18,0,0,5,5,51,6,1,1,2,3,1
18,16.42182,11.994422,-1084.3734,19,0,0,5,5,51,6,1,1,3,4,1
19,2.7598152,7.6927862,-1081.9384,20,0,0,4,4,51,5,1,1,2,3,1
20,-9.9030046,2.8846607,-1079.3989,21,0,0,3,3,51,4,1,1,1,2,1
21,-1.2476019,-23.26852,-1083.8628,22,0,0,5,5,51,6,1,1,1,2,1
22,35.012138,14.141396,-1082.5587,23,0,0,6,6,51,7,1,1,1,2,1
23,-19.84763,-28.008406,-1081.9749,24,0,0,4,4,51,5,1,1,0,1,1
24,29.769859,4.6458325,-1083.0144,25,0,0,6,6,51,7,1,1,1,2,1
25,41.776669,4.8437262,-1082.5677,26,0,0,7,7,51,8,1,1,0,1,1
26,-6.2833948,-37.415516,-1079.6144,27,0,0,5,5,51,6,1,1,0,1,1
27,6.58287,-16.996059,-1076.4987,28,0,0,3,3,51,4,1,1,1,2,1
28,43.362804,19.446976,-1076.0673,29,0,0,7,7,51,8,1,1,2,3,1
29,49.392197,-14.228338,-1074.9437,30,0,0,8,8,51,9,1,1,0,1,1
30,47.094254,23.643669,-1076.5054,31,0,0,8,8,51,9,1,1,0,1,1
31,-30.869951,-10.520102,-1069.5344,32,0,0,2,2,51,3,1,1,1,2,1
32,-4.936131,-3.8386722,-1070.1017,33,0,0,2,2,51,3,1,1,1,2,1
