"Segments"
"Segment.id","StartNode.id","EndNode.id","StartNode.pos.x","StartNode.pos.y","StartNode.pos.z","EndNode.pos.x","EndNode.pos.y","EndNode.pos.z","Segment.voxel_distance","Segment.distance","StartNode.label","EndNode.label","StartNode.shortest_distance","EndNode.shortest_distance"
0,4,2,-2.4252014,18.283796,-1367.8,1.0848007,22.144796,-1377.7001,3,41,5,3,3,4
1,4,0,-2.4252014,18.283796,-1367.8,1.7868004,15.826799,-1380.1001,2,21,5,1,3,4
2,4,3,-2.4252014,18.283796,-1367.8,-4.8821983,23.197798,-1373.5,1,1,5,4,3,4
3,8,1,-9.7961998,8.1047974,-1360.6001,-8.7432003,3.5417976,-1375.9,1,1,9,2,3,4
4,17,8,1.7868004,13.018797,-1348.6001,-9.7961998,8.1047974,-1360.6001,1,1,18,9,2,3
5,9,6,-21.3792,18.985796,-1361.8,-24.889198,22.846796,-1369.6001,1,1,10,7,3,4
6,18,9,-10.498199,21.442797,-1348,-21.3792,18.985796,-1361.8,1,1,19,10,2,3
7,13,10,-26.644199,18.985796,-1358.2001,-32.962196,21.091799,-1363.9,1,1,14,11,3,4
8,14,11,19.687798,22.495798,-1355.2001,13.720798,15.826799,-1363,1,1,15,12,3,4
9,12,7,9.5088005,-4.8822002,-1357.6001,17.230801,-12.9552,-1363.9,1,1,13,8,3,4
10,24,12,4.594799,7.0517979,-1339.6001,9.5088005,-4.8822002,-1357.6001,1,1,25,13,2,3
11,18,13,-10.498199,21.442797,-1348,-26.644199,18.985796,-1358.2001,1,1,19,14,2,3
12,14,5,19.687798,22.495798,-1355.2001,20.389797,17.230799,-1369.9,1,1,15,6,3,4
13,25,14,25.303799,23.899797,-1337.5,19.687798,22.495798,-1355.2001,1,1,26,15,2,3
14,17,4,1.7868004,13.018797,-1348.6001,-2.4252014,18.283796,-1367.8,1,1,18,5,2,3
15,27,17,1.4357986,18.283796,-1328.8,1.7868004,13.018797,-1348.6001,4,61,28,18,1,2
16,19,15,-4.1801987,-2.7762012,-1347.4,-12.6042,-15.412201,-1357.6001,3,41,20,16,3,4
17,20,16,-8.7432003,9.5087986,-1345,-22.432198,1.4357986,-1352.8,3,41,21,17,2,3
18,27,20,1.4357986,18.283796,-1328.8,-8.7432003,9.5087986,-1345,5,81,28,21,1,2
19,23,22,43.2048,9.8597984,-1342.3,51.628796,0.73379898,-1344.1001,1,1,24,23,3,4
20,26,23,24.952797,13.720797,-1334.2001,43.2048,9.8597984,-1342.3,4,61,27,24,2,3
21,24,19,4.594799,7.0517979,-1339.6001,-4.1801987,-2.7762012,-1347.4,7,121,25,20,2,3
22,27,24,1.4357986,18.283796,-1328.8,4.594799,7.0517979,-1339.6001,4,61,28,25,1,2
23,28,25,10.9128,24.250799,-1328.2001,25.303799,23.899797,-1337.5,4,61,29,26,1,2
24,26,21,24.952797,13.720797,-1334.2001,33.727795,1.4357986,-1344.1001,1,1,27,22,2,3
25,28,26,10.9128,24.250799,-1328.2001,24.952797,13.720797,-1334.2001,5,81,29,27,1,2
26,27,18,1.4357986,18.283796,-1328.8,-10.498199,21.442797,-1348,3,41,28,19,1,2
27,29,27,8.8068008,21.091799,-1312,1.4357986,18.283796,-1328.8,3,41,30,28,0,1
28,29,28,8.8068008,21.091799,-1312,10.9128,24.250799,-1328.2001,3,41,30,29,0,1
