"SegmentsGeometry"
"Segment.id","Point.index","Point.pos.x","Point.pos.y","Point.pos.z"
0,0,-2.4252014,18.283796,-1367.8
0,1,1.0848007,22.144796,-1377.7001
1,0,-2.4252014,18.283796,-1367.8
1,1,1.7868004,15.826799,-1380.1001
2,0,-2.4252014,18.283796,-1367.8
2,1,-4.8821983,23.197798,-1373.5
3,0,-9.7961998,8.1047974,-1360.6001
3,1,-8.7432003,3.5417976,-1375.9
4,0,1.7868004,13.018797,-1348.6001
4,1,-9.7961998,8.1047974,-1360.6001
5,0,-21.3792,18.985796,-1361.8
5,1,-24.889198,22.846796,-1369.6001
6,0,-10.498199,21.442797,-1348
6,1,-21.3792,18.985796,-1361.8
7,0,-26.644199,18.985796,-1358.2001
7,1,-32.962196,21.091799,-1363.9
8,0,19.687798,22.495798,-1355.2001
8,1,13.720798,15.826799,-1363
9,0,9.5088005,-4.8822002,-1357.6001
9,1,17.230801,-12.9552,-1363.9
10,0,4.594799,7.0517979,-1339.6001
10,1,9.5088005,-4.8822002,-1357.6001
11,0,-10.498199,21.442797,-1348
11,1,-26.644199,18.985796,-1358.2001
12,0,19.687798,22.495798,-1355.2001
12,1,20.389797,17.230799,-1369.9
13,0,25.303799,23.899797,-1337.5
13,1,19.687798,22.495798,-1355.2001
14,0,1.7868004,13.018797,-1348.6001
14,1,-2.4252014,18.283796,-1367.8
15,0,1.4357986,18.283796,-1328.8
15,1,1.7868004,13.018797,-1348.6001
16,0,-4.1801987,-2.7762012,-1347.4
16,1,-12.6042,-15.412201,-1357.6001
17,0,-8.7432003,9.5087986,-1345
17,1,-22.432198,1.4357986,-1352.8
18,0,1.4357986,18.283796,-1328.8
18,1,-8.7432003,9.5087986,-1345
19,0,43.2048,9.8597984,-1342.3
19,1,51.628796,0.73379898,-1344.1001
20,0,24.952797,13.720797,-1334.2001
20,1,43.2048,9.8597984,-1342.3
21,0,4.594799,7.0517979,-1339.6001
21,1,-4.1801987,-2.7762012,-1347.4
22,0,1.4357986,18.283796,-1328.8
22,1,4.594799,7.0517979,-1339.6001
23,0,10.9128,24.250799,-1328.2001
23,1,25.303799,23.899797,-1337.5
24,0,24.952797,13.720797,-1334.2001
24,1,33.727795,1.4357986,-1344.1001
25,0,10.9128,24.250799,-1328.2001
25,1,24.952797,13.720797,-1334.2001
26,0,1.4357986,18.283796,-1328.8
26,1,-10.498199,21.442797,-1348
27,0,8.8068008,21.091799,-1312
27,1,1.4357986,18.283796,-1328.8
28,0,8.8068008,21.091799,-1312
28,1,10.9128,24.250799,-1328.2001
