"instances.Label-Analysis"
"Volume3d","BaryCenterX","BaryCenterY","BaryCenterZ","Anisotropy","Elongation","Flatness","EigenVal1","EigenVal2","EigenVal3","EigenVec1X","EigenVec1Y","EigenVec1Z","EigenVec2X","EigenVec2Y","EigenVec2Z","EigenVec3X","EigenVec3Y","EigenVec3Z","ExtentMin1","ExtentMin2","ExtentMin3","ExtentMax1","ExtentMax2","ExtentMax3","BinMom2x","BinMom2y","BinMom2z","BinMomxy","BinMomxz","BinMomyz","VoxelFaceArea","BorderVoxelCount","GreyMass","index","Materials"
20.0694,1.95616,16.0821,-1379.96,0.959961,0.0492675,0.812687,5.62787,0.277271,0.225334,-0.288373,0.12334,0.949541,0.907023,-0.282595,0.312167,0.306839,0.951277,-0.0303793,-3.27843,-1.33899,-1.30545,7.41034,1.49609,1.25518,0.71733,0.311669,5.10148,-0.205469,-1.46463,0.628143,72.4885,0,20.0694,1,""
56.7341,-8.6387,3.84981,-1375.63,0.96855,0.0374971,0.838721,13.1995,0.494944,0.41512,-0.100763,0.378634,0.920045,0.794362,0.587405,-0.154741,-0.599029,0.715257,-0.359961,-5.38061,-1.84123,-1.78728,9.44635,2.10981,1.93552,0.595293,2.27548,11.2388,-0.450509,-1.19501,4.44633,171.61,0,113.468,2,""
14.5624,1.3672,22.3372,-1377.48,0.937703,0.0668102,0.932454,3.16857,0.211693,0.197394,-0.106536,-0.393094,0.913306,0.529833,0.754819,0.386684,0.841384,-0.525095,-0.127859,-2.72239,-1.21617,-1.26988,4.75567,1.20939,1.14826,0.23513,0.664655,2.67787,0.130147,-0.286164,-1.06252,56.5461,0,43.6871,3,""
2.1437,-4.86404,23.2038,-1373.2,0.960633,0.0676775,0.58168,1.08935,0.0737243,0.042884,0.600671,-0.38989,0.697983,-0.249737,0.737841,0.627074,0.759491,0.550977,-0.345829,-1.56966,-0.743045,-0.588624,2.80215,0.671168,0.586977,0.422377,0.218751,0.564828,-0.25076,0.433909,-0.270512,16.9322,0,8.57479,4,""
120.417,-2.1578,18.3403,-1367.79,0.968338,0.0537644,0.588896,19.6952,1.0589,0.623582,0.0728419,-0.164235,0.983728,-0.643355,0.745955,0.172177,0.762095,0.645428,0.0513245,-6.26048,-3.06531,-2.43776,13.6718,2.92705,2.70887,0.904955,1.38023,19.0925,-0.437072,1.31839,-3.02534,269.842,0,602.083,5,""
46.9026,20.4617,17.4784,-1369.84,0.950291,0.0645525,0.770059,8.08305,0.521781,0.401803,0.16266,0.45944,0.873188,0.838429,-0.530913,0.123162,0.520172,0.712072,-0.471566,-4.09561,-1.80334,-1.62663,9.10786,2.09325,1.79246,0.689375,2.05702,6.26024,0.520631,1.10338,3.0737,134.881,0,281.416,6,""
10.5337,-24.7956,23.1596,-1369.59,0.910692,0.119832,0.745273,2.1891,0.262325,0.195504,0.505159,-0.22125,0.834184,0.646535,-0.543246,-0.535609,0.57167,0.809897,-0.13138,-2.10293,-1.4043,-1.16537,4.31856,1.3123,1.36461,0.732174,0.312813,1.60195,-0.246287,0.816956,-0.348502,47.0375,0,73.7358,7,""
48.8246,17.2324,-12.7578,-1363.82,0.971401,0.0414985,0.689149,12.7248,0.528061,0.363912,-0.461474,0.604651,0.649183,0.598775,-0.327661,0.730826,0.654607,0.725972,-0.210843,-5.02077,-2.0136,-1.66795,10.0257,2.00545,1.81821,3.05512,4.90072,5.66095,-3.48128,-3.63126,4.81271,162.158,0,390.596,8,""
140.08,-9.72081,8.27465,-1360.4,0.978253,0.0410091,0.530297,27.7417,1.13766,0.603299,0.517832,0.225245,0.825296,0.855327,-0.117959,-0.504481,-0.0162813,0.967135,-0.253741,-7.38879,-2.42318,-2.07712,16.0399,4.02006,1.98733,8.27141,1.98762,19.2236,3.11149,11.3674,5.07667,390.484,0,1260.72,9,""
61.5019,-21.0571,19.1915,-1361.61,0.972912,0.0417705,0.648496,14.805,0.618414,0.401039,0.529555,-0.0381087,0.847419,0.261534,0.957659,-0.120367,0.806952,-0.28537,-0.517101,-5.37841,-2.34045,-1.68236,11.2632,3.37998,1.86971,4.45521,0.621314,10.748,-0.236238,6.45703,-0.49022,189.437,0,615.019,10,""
9.83144,-32.9318,21.2277,-1363.89,0.949907,0.103873,0.482255,2.3603,0.245171,0.118235,0.911747,-0.0909756,0.40055,-0.399171,-0.426164,0.811817,-0.0968441,0.90006,0.424868,-2.56611,-1.18829,-0.983238,3.78678,1.18015,1.12414,2.00225,0.159845,0.561608,-0.164379,0.777669,-0.125617,46.5889,0,108.146,11,""
10.5337,13.8452,15.9056,-1362.9,0.960238,0.0654736,0.607292,3.26818,0.213979,0.129948,0.584916,0.361928,0.725866,0.52155,0.517546,-0.678331,-0.621175,0.775342,0.113958,-2.73909,-1.11746,-0.939293,4.24167,1.18334,1.15377,1.22648,0.563538,1.82209,0.687038,1.30267,0.794947,50.1291,0,126.404,12,""
124.741,9.6985,-4.68627,-1357.42,0.980645,0.03591,0.538987,27.5779,0.990321,0.53377,-0.350747,0.582097,0.73358,-0.682724,0.377233,-0.625766,0.640987,0.720318,-0.265098,-7.54692,-2.76036,-1.80275,16.6535,2.86783,2.17927,4.07364,9.76227,15.2661,-5.63914,-6.76343,11.4405,328.507,0,1621.63,13,""
80.8322,-26.5514,19.1656,-1358.19,0.973741,0.0312357,0.840681,21.2995,0.665306,0.55931,0.84477,0.0331952,0.534099,-0.433516,-0.542693,0.719409,-0.313733,0.839275,0.44406,-6.7421,-2.35683,-1.9032,14.2377,2.45002,2.37023,15.3802,0.613381,6.53057,0.606541,9.32474,0.326332,235.204,0,1131.65,14,""
237.248,20.029,22.5297,-1355.02,0.954826,0.0713509,0.633127,28.8466,2.05823,1.30312,0.414795,0.198763,0.88794,0.900963,-0.226265,-0.37023,0.127321,0.953571,-0.272931,-7.81514,-3.81736,-3.6446,14.4418,4.48539,3.576,6.65508,2.42993,23.123,2.11692,9.89278,4.9244,669.186,0,3558.72,15,""
47.8266,-12.586,-15.1987,-1357.49,0.980406,0.0220861,0.887176,16.3109,0.360244,0.3196,0.537396,0.529291,0.656549,0.108804,-0.815528,0.568397,-0.836282,0.234019,0.495851,-5.73504,-1.5067,-1.67339,12.7852,1.82467,1.36235,4.93828,4.82658,7.22589,4.54494,5.64467,5.53823,160.366,0,765.226,16,""
46.7917,-22.2611,1.45576,-1352.75,0.981617,0.0283677,0.64801,17.9738,0.509875,0.330404,0.787283,0.351156,0.506828,-0.103571,-0.734991,0.670121,-0.607831,0.580067,0.542276,-6.46188,-1.97695,-1.58926,12.1942,2.15524,1.76062,11.268,2.60298,4.94315,4.89134,7.02756,3.05171,170.742,0,795.46,17,""
179.442,1.82917,13.0765,-1348.41,0.95864,0.0539919,0.766042,26.205,1.41486,1.08384,0.1911,0.209088,0.959043,0.96789,0.122417,-0.219552,-0.163309,0.970204,-0.17898,-6.9514,-3.37774,-2.96213,17.0448,3.16373,3.96116,2.31134,2.18704,24.2053,1.04298,4.53368,5.02849,482.365,0,3229.96,18,""
162.699,-10.1814,21.6183,-1347.9,0.955052,0.0772065,0.582176,21.1697,1.63443,0.951529,0.669038,-0.122225,0.733109,0.281138,0.954712,-0.097397,0.688004,-0.271267,-0.673101,-6.8353,-3.77944,-2.53648,15.8419,3.60947,2.64609,10.0554,1.87602,11.8242,-1.47,9.89785,-1.87513,497.321,0,3091.29,19,""
82.2736,-3.8888,-2.75823,-1347.2,0.954928,0.0530837,0.849077,13.4092,0.711813,0.604384,0.363824,0.700075,0.614432,0.770175,-0.5971,0.224283,-0.523892,-0.39162,0.756419,-6.20433,-2.37009,-2.09714,12.0787,2.04418,1.95429,2.36306,6.91841,5.44396,3.21205,2.88102,5.4936,260.784,0,1645.47,20,""
108.663,-8.58179,9.64633,-1344.98,0.943524,0.0750348,0.75266,14.8557,1.1147,0.838988,0.694444,0.465373,0.548795,-0.715852,0.524022,0.461472,-0.0728235,-0.713322,0.697042,-6.23373,-2.83771,-2.39847,13.7817,2.37283,2.60896,7.73988,3.95034,5.1192,4.42645,5.2508,3.64647,356.529,0,2281.93,21,""
93.4356,34.0521,1.44302,-1343.97,0.978372,0.0301662,0.716972,27.5003,0.829578,0.594784,-0.538733,0.753762,0.37631,0.831876,0.546572,0.0961291,0.133222,-0.364832,0.921493,-7.38378,-2.46002,-1.96636,13.6655,2.17535,2.1451,8.56614,15.9515,4.40703,-10.8189,-5.4358,7.64403,390.53,0,2055.58,22,""
41.913,51.8981,0.959132,-1344.04,0.975444,0.0301615,0.814165,14.3528,0.4329,0.352452,0.801341,-0.542138,-0.252859,0.549681,0.83409,-0.0463108,0.236014,-0.101881,0.966394,-11.0878,-2.05801,-1.56105,5.3251,1.56934,1.6474,9.36703,4.52331,1.24777,-6.04538,-2.83888,1.91612,179.052,0,963.998,23,""
137.825,43.3534,9.97661,-1342.02,0.961825,0.074839,0.510091,22.3707,1.6742,0.853996,0.926774,-0.254113,-0.276618,0.201551,0.957858,-0.204657,0.316967,0.133918,0.938935,-16.9415,-3.60303,-2.49184,6.15641,3.29058,2.48487,19.3682,2.99594,2.53475,-4.90896,-5.5499,1.35167,475.472,0,3307.8,24,""
138.084,4.64535,7.06232,-1339.54,0.9271,0.0968725,0.752541,14.5057,1.40521,1.05747,-0.0292419,0.746827,0.664375,0.99866,0.050226,-0.0125041,0.0427073,-0.663119,0.747295,-6.04191,-2.97823,-3.05845,13.6798,3.17273,2.74624,1.41577,8.55913,6.99351,-0.27625,-0.26561,6.67245,433.019,0,3452.09,25,""
