"Nodes"
"Node.id","Node.pos.x","Node.pos.y","Node.pos.z","Node.label","Node.shortest_distance"
0,1.7868004,15.826799,-1380.1001,0,4
1,-8.7432003,3.5417976,-1375.9,1,4
2,1.0848007,22.144796,-1377.7001,2,4
3,-4.8821983,23.197798,-1373.5,3,4
4,-2.4252014,18.283796,-1367.8,4,3
5,20.389797,17.230799,-1369.9,5,4
6,-24.889198,22.846796,-1369.6001,6,4
7,17.230801,-12.9552,-1363.9,7,4
8,-9.7961998,8.1047974,-1360.6001,8,3
9,-21.3792,18.985796,-1361.8,9,3
10,-32.962196,21.091799,-1363.9,10,4
11,13.720798,15.826799,-1363,11,4
12,9.5088005,-4.8822002,-1357.6001,12,3
13,-26.644199,18.985796,-1358.2001,13,3
14,19.687798,22.495798,-1355.2001,14,3
15,-12.6042,-15.412201,-1357.6001,15,4
16,-22.432198,1.4357986,-1352.8,16,3
17,1.7868004,13.018797,-1348.6001,17,2
18,-10.498199,21.442797,-1348,18,2
19,-4.1801987,-2.7762012,-1347.4,19,3
20,-8.7432003,9.5087986,-1345,20,2
21,33.727795,1.4357986,-1344.1001,21,3
22,51.628796,0.73379898,-1344.1001,22,4
23,43.2048,9.8597984,-1342.3,23,3
24,4.594799,7.0517979,-1339.6001,24,2
25,25.303799,23.899797,-1337.5,25,2
26,24.952797,13.720797,-1334.2001,26,2
27,1.4357986,18.283796,-1328.8,27,1
28,10.9128,24.250799,-1328.2001,28,1
29,8.8068008,21.091799,-1312,29,0
